year,country_code,terror_count,arms_import,gdp_growth,life_expectancy
2015,SEN,1,15000000,6.485194754,66.80441463
2015,SOM,335,1000000,2.698211474,55.68558537
2015,ZAF,2,2000000,1.264651378,57.44090244
2015,KOR,1,275000000,2.611935409,82.15585366
2015,SSD,44,18000000,-6.349777952,56.1115122
2015,LKA,11,15333333.33,4.785984567,74.95319512
2015,SDN,117,116000000,4.906045175,63.71073171
2015,SWE,36,45000000,4.084960074,82.55121951
2015,SYR,423,278750000,2.698211474,70.08931707
2015,TJK,3,3000000,6,69.76843902
2015,TZA,14,20000000,6.959374422,65.4874878
2015,THA,277,166000000,2.828335288,74.60119512
2015,TTO,1,46000000,-0.578521568,70.55770732
2015,TUN,17,7000000,0.994642523,74.97597561
2015,TUR,409,458000000,3.97194515,75.42621951
2015,UGA,9,5000000,5.143837727,59.17907317
2015,UKR,609,18000000,-9.869784362,71.1895122
2015,GBR,115,397000000,2.194229035,81.60487805
2015,USA,38,528000000,2.596148041,78.74146341
2015,UZB,1,93000000,7.999999997,68.45307317
2015,VEN,3,162000000,1.812772474,74.40960976
2015,YEM,570,13000000,-28.09683489,64.03139024
